DATE,Monthly Worker Change,Monthly Interest Rate Change
1997-01-01,0.49912,-0.04
1997-02-01,0.46743,-0.068801843
1997-03-01,1.09043,0.200414747
1997-04-01,-0.43147,0.121204301
1997-05-01,-0.21667,-0.003139785
1997-06-01,-0.04343,0.051473118
1997-07-01,0.44895,-0.034376344
1997-08-01,0.21626,0.020967742
1997-09-01,0.08632,-0.001591398
1997-10-01,0.14374,-0.044537634
1997-11-01,0.47366,0.025537634
1997-12-01,0.48571,-0.016827957
1998-01-01,0.09952,0.052580645
1998-02-01,0.0142,-0.051705069
1998-03-01,0.58222,-0.012165899
1998-04-01,0.64944,-0.048215054
1998-05-01,0.78552,0.043376344
1998-06-01,1.02992,0.069956989
1998-07-01,0.7439,-0.022860215
1998-08-01,1.08027,0.010967742
1998-09-01,0.02706,-0.035107527
1998-10-01,0.79794,-0.440698925
1998-11-01,0.45619,-0.244967742
1998-12-01,0.80139,-0.142451613
1999-01-01,1.29853,-0.050967742
1999-02-01,1.22956,0.132062212
1999-03-01,0.52978,0.044711982
1999-04-01,0.71979,-0.073021505
1999-05-01,1.0975,0.005924731
1999-06-01,0.79525,0.022408602
1999-07-01,0.65122,0.229526882
1999-08-01,0.29862,0.078064516
1999-09-01,0.48381,0.152075269
1999-10-01,0.18519,-0.024333333
1999-11-01,0.99815,0.22
1999-12-01,0.39043,-0.124193548
2000-01-01,1.1789,0.152580645
2000-02-01,0.21622,0.286440489
2000-03-01,1.06676,0.118720801
2000-04-01,-1.09108,0.16611828
2000-05-01,-0.73141,0.248397849
2000-06-01,-0.14495,0.260268817
2000-07-01,0.26612,0.016182796
2000-08-01,-0.8083,-0.047741935
2000-09-01,-0.4865,0.020225806
2000-10-01,-0.6111,-0.007645161
2000-11-01,-0.90999,0.004978495
2000-12-01,-1.06726,-0.112075269
2001-01-01,-1.80632,-0.426451613
2001-02-01,-0.12775,-0.481520737
2001-03-01,-0.80583,-0.183317972
2001-04-01,-0.34816,-0.508967742
2001-05-01,0.28468,-0.589741935
2001-06-01,0.59355,-0.242591398
2001-07-01,0.25654,-0.200634409
2001-08-01,0.02559,-0.116451613
2001-09-01,0.1407,-0.583580645
2001-10-01,0.38319,-0.58383871
2001-11-01,0.16542,-0.39816129
2001-12-01,0.25407,-0.269258065
2002-01-01,-0.43082,-0.088064516
2002-02-01,1.15806,0.009965438
2002-03-01,0.49063,-0.009642857
2002-04-01,-0.25038,0.023
2002-05-01,0.31376,-0.001709677
2002-06-01,-0.07507,-0.000956989
2002-07-01,0.26293,-0.021301075
2002-08-01,0.78671,0.014193548
2002-09-01,0.28497,0.00744086
2002-10-01,0.1359,0.004172043
2002-11-01,1.99877,-0.41883871
2002-12-01,-1.19753,-0.097612903
2003-01-01,0.12243,-0.003225806
2003-02-01,-0.01223,0.026981567
2003-03-01,0.4158,-0.009239631
2003-04-01,0.94995,0.005096774
2003-05-01,0.01206,0.001032258
2003-06-01,0.95296,-0.036365591
2003-07-01,-0.0239,-0.211376344
2003-08-01,0.41831,0.017741935
2003-09-01,1.19019,-0.019032258
2003-10-01,0.51753,0
2003-11-01,0.45635,-0.014
2003-12-01,0.55911,-0.011806452
2004-01-01,0.35909,0.012903226
2004-02-01,0.10388,0.010144605
2004-03-01,0.96852,-0.005628476
2004-04-01,0.0571,0.002387097
2004-05-01,1.66629,0.000516129
2004-06-01,0.05613,0.021150538
2004-07-01,0.81903,0.23788172
2004-08-01,0.53416,0.165806452
2004-09-01,0.77485,0.175645161
2004-10-01,0.86775,0.155967742
2004-11-01,0.56626,0.171032258
2004-12-01,0.42231,0.224129032
2005-01-01,0.50679,0.123225806
2005-02-01,0.63298,0.222430876
2005-03-01,0.47974,0.127246544
2005-04-01,0.57294,0.155967742
2005-05-01,0.53803,0.217580645
2005-06-01,0.6086,0.033086022
2005-07-01,0.61535,0.226913978
2005-08-01,0.01037,0.237096774
2005-09-01,0.29022,0.123322581
2005-10-01,0.53741,0.156354839
2005-11-01,1.32607,0.219645161
2005-12-01,1.01451,0.158096774
2006-01-01,1.24536,0.128064516
2006-02-01,0.4563,0.206267281
2006-03-01,0.5036,0.097926267
2006-04-01,0.41265,0.200978495
2006-05-01,-0.52838,0.149989247
2006-06-01,-0.86563,0.050677419
2006-07-01,-0.04961,0.24416129
2006-08-01,0.18862,0.011290323
2006-09-01,0.23781,0.008215054
2006-10-01,-0.57335,-0.009505376
2006-11-01,-0.97435,0.000505376
2006-12-01,-0.65261,-0.007602151
2007-01-01,-0.70743,0.010322581
2007-02-01,-0.52926,0.010541475
2007-03-01,-0.41952,-0.002154378
2007-04-01,-0.65762,-0.007107527
2007-05-01,-0.17584,0.00388172
2007-06-01,-0.11398,0.000451613
2007-07-01,-0.99585,0.004387097
2007-08-01,-1.28877,-0.236129032
2007-09-01,-0.59442,-0.084258065
2007-10-01,-1.59103,-0.182516129
2007-11-01,-2.88628,-0.268817204
2007-12-01,0.15642,-0.242150538
2008-01-01,-1.09326,-0.304193548
2008-02-01,-1.36476,-0.959632925
2008-03-01,-0.82333,-0.370367075
2008-04-01,-1.46431,-0.331989247
2008-05-01,-1.61479,-0.299946237
2008-06-01,-1.90295,0.022612903
2008-07-01,-1.46702,0.008677419
2008-08-01,-1.52578,-0.013225806
2008-09-01,-2.22417,-0.184784946
2008-10-01,-2.05751,-0.842311828
2008-11-01,-2.46608,-0.581688172
2008-12-01,-2.02007,-0.232505376
2009-01-01,-2.77171,-0.000967742
2009-02-01,-3.27201,0.067949309
2009-03-01,-3.15041,-0.041497696
2009-04-01,-1.6939,-0.030311828
2009-05-01,-1.81458,0.027086022
2009-06-01,-1.39773,0.028913978
2009-07-01,-0.91353,-0.050526882
2009-08-01,-1.31935,0.004516129
2009-09-01,-1.28866,-0.013655914
2009-10-01,-1.04439,-0.028602151
2009-11-01,-0.67612,0.000935484
2009-12-01,-1.01278,-0.000935484
2010-01-01,-2.19725,-0.008064516
2010-02-01,-0.82319,0.016428571
2010-03-01,0.34584,0.038087558
2010-04-01,-0.08616,0.033817204
2010-05-01,-0.2932,0.002311828
2010-06-01,-0.15568,-0.023978495
2010-07-01,-1.21275,0.005913978
2010-08-01,-0.26307,0.006774194
2010-09-01,-0.12309,0.005311828
2010-10-01,-0.82746,-0.003376344
2010-11-01,-0.44381,0.003043011
2010-12-01,-0.19615,-0.011107527
2011-01-01,-0.50027,-0.01483871
2011-02-01,0.37709,-0.011601382
2011-03-01,0.60823,-0.018076037
2011-04-01,0.19559,-0.040709677
2011-05-01,-0.60337,-0.004129032
2011-06-01,1.32119,-0.001870968
2011-07-01,-0.42291,-0.021032258
2011-08-01,-0.12387,0.02483871
2011-09-01,0.21262,-0.011806452
2011-10-01,1.0785,-0.013354839
2011-11-01,0.03498,0.010354839
2011-12-01,0.54205,-0.009387097
2012-01-01,0.03478,0.010322581
2012-02-01,0.27816,0.02185762
2012-03-01,-0.65881,0.02298109
2012-04-01,-0.17452,0.01255914
2012-05-01,0.34965,0.016473118
2012-06-01,0.38328,0.005860215
2012-07-01,1.24957,-0.005215054
2012-08-01,0.23997,-0.024193548
2012-09-01,0.2907,0.012075269
2012-10-01,-0.64791,0.014053763
2012-11-01,1.40724,0.00227957
2012-12-01,0.64309,0.003849462
2013-01-01,0.15134,-0.021935484
2013-02-01,0.38617,0.002419355
2013-03-01,0.66901,-0.001451613
2013-04-01,0.947,0.001451613
2013-05-01,0.46083,-0.035967742
2013-06-01,0.06553,-0.015365591
2013-07-01,-0.03274,-0.001086022
2013-08-01,0.52407,-0.009677419
2013-09-01,0.2118,-0.002903226
2013-10-01,0.99171,0.007096774
2013-11-01,0.7405,-0.002763441
2013-12-01,0.44743,0.000827957
2014-01-01,0.60452,-0.013548387
2014-02-01,1.45478,-0.005184332
2014-03-01,0.12469,0.011635945
2014-04-01,1.2609,0.012268817
2014-05-01,-0.07686,-0.003236559
2014-06-01,1.09231,0.008569892
2014-07-01,1.21747,-0.004698925
2014-08-01,0.70666,-0.002903226
2014-09-01,1.11974,0.000268817
2014-10-01,-0.47246,0.000698925
2014-11-01,0.3857,0.002967742
2014-12-01,-0.60588,0.030580645
2015-01-01,1.11508,-0.007741935
2015-02-01,0.04411,-0.004124424
2015-03-01,0.24985,0.00218894
2015-04-01,0.38118,0.011763441
2015-05-01,0.77406,-0.00144086
2015-06-01,-0.21739,0.005774194
2015-07-01,1.33624,0.001322581
2015-08-01,0.07166,0.007741935
2015-09-01,0.22916,-0.002064516
2015-10-01,0.40011,-0.012451613
2015-11-01,0.89667,-0.00588172
2015-12-01,0.56425,0.122978495
2016-01-01,0.18235,0.102258065
2016-02-01,0.39205,0.032269188
2016-03-01,0.48815,-0.012914349
2016-04-01,0.79112,0.003075269
2016-05-01,0.08262,-0.000172043
2016-06-01,0.08255,0.012505376
2016-07-01,0.09623,0.013946237
2016-08-01,0.85153,0.00516129
2016-09-01,1.44355,-0.00044086
2016-10-01,-0.14767,0.00011828
2016-11-01,0.02689,0.010215054
2016-12-01,-0.28226,0.133333333
2017-01-01,0.32349,0.109677419
2017-02-01,0.44337,0.007108295
2017-03-01,-0.14714,0.129343318
2017-04-01,-0.18754,0.109870968
2017-05-01,0.28184,0.011419355
2017-06-01,0.04015,0.132580645
2017-07-01,0.76254,0.110645161
2017-08-01,-0.06638,0.006451613
2017-09-01,-0.06643,-0.003763441
2017-10-01,0.99708,0.000537634
2017-11-01,0.47387,0.003129032
2017-12-01,1.20529,0.144612903
